#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2017-12-13-10-14-01
#types
#time	string	addr	srcort	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
1295981571.018894	CFDu9z4bRaNWdydLd6	192.168.3.131	56052	207.46.148.38	80	tcp	http	0.038554	639	1865	SF	-	-	0	ShADdfFa	5	851	4	2033	(empty)
1295981564.048270	ChPoJg187HnK5B9eQj	192.168.3.131	56012	65.54.95.140	80	tcp	http	9.219604	397	39325	SF	-	-	0	ShADdfFa	18	1129	30	40537	(empty)
1295981573.597974	C4KydK3VyMNnZNcHq6	192.168.3.131	58327	208.82.236.129	80	tcp	http	0.161608	570	6028	SF	-	-	0	ShADdFf	7	862	8	6360	(empty)
1295981573.065135	Cfyu6Y21xMLU1L1Rrh	192.168.3.131	54600	224.0.0.252	5355	udp	dns	0.100132	44	0	S0	-	-	0	D	2	100	0	0	(empty)
1295981577.896237	CbXXvziI8NMkP9mIa	192.168.3.131	52248	65.54.95.39	80	tcp	http	3.464291	295	176	SF	-	-	0	ShADadfF	6	547	5	388	(empty)
1295981572.530290	CbCtTn4x7AKXZaHLk8	192.168.3.131	56066	65.54.95.75	80	tcp	http	9.072329	637	21234	SF	-	-	0	ShADadfF	12	1129	19	22006	(empty)
1295981572.605592	CK26wH1AAGW5tMbKMe	192.168.3.131	56067	65.54.95.75	80	tcp	http	8.997128	8922	58702	SF	-	-	0	ShADadfF	38	10454	50	60714	(empty)
1295981572.628399	CPDIMhtAguryF28Rk	192.168.3.131	56068	65.54.95.68	80	tcp	http	8.976882	3203	25433	SF	-	-	0	ShADadfF	17	3895	25	26445	(empty)
1295981572.446589	CrgZMQ23UmYfw3qwp2	192.168.3.131	56065	65.54.95.68	80	tcp	http	9.163401	669	173236	SF	-	-	0	ShADadfF	54	2841	123	178168	(empty)
1295981571.020240	CgHwXiFP3u5otCrv4	192.168.3.131	56053	66.235.133.62	80	tcp	-	11.888111	3781	2712	RSTR	-	-	3781	ShAadr	4	172	7	3004	(empty)
1295981569.749994	CC1CRU1YAywMcNxVpg	192.168.3.131	56038	65.54.95.140	80	tcp	http	13.523009	1802	14218	SF	-	-	0	ShADdfFa	13	2334	15	14830	(empty)
1295981569.750368	CemuKAYjzepIcGlpa	192.168.3.131	56041	65.54.95.140	80	tcp	http	13.522751	1805	23195	SF	-	-	0	ShADdfFa	16	2457	21	24047	(empty)
1295981569.749857	CXfqUN2hNib5u4hCKj	192.168.3.131	56037	65.54.95.140	80	tcp	http	13.523317	1805	40894	SF	-	-	0	ShADdfFa	22	2697	32	42186	(empty)
1295981569.750245	CU3uFA1Gyyi3dkM41g	192.168.3.131	56040	65.54.95.140	80	tcp	http	13.522978	2405	15695	SF	-	-	0	ShADdfFa	13	2937	16	16347	(empty)
1295981569.750109	CceRtt3vibosAZnKse	192.168.3.131	56039	65.54.95.140	80	tcp	http	13.523166	2402	17655	SF	-	-	0	ShADdfFa	14	2974	18	18387	(empty)
1295981569.749712	CNkZza3R6VydImqcvk	192.168.3.131	56036	65.54.95.140	80	tcp	http	13.523618	2400	44865	SF	-	-	0	ShADdfFa	24	3372	36	46317	(empty)
1295981569.689770	CVJkUf2q420DmY8qv8	192.168.3.131	56030	65.54.95.140	80	tcp	http	13.583618	593	1016	SF	-	-	0	ShADdfFa	6	845	4	1188	(empty)
1295981569.690241	CaXqti1VA5djto4y32	192.168.3.131	56033	65.54.95.140	80	tcp	http	13.583198	585	967	SF	-	-	0	ShADdfFa	6	837	4	1139	(empty)
